,News,Category
0,ဒီမိုကရေစီ_ရ_မှ_အမျှဝေ_ပါ_ဟု_မဝင်းမော်ဦး_တောင်းဆို_ခဲ့_မှု_အရ_၈၈_အရေးတော်ပုံ_အပြီး_၂၈_နှစ်_အကြာ_အရပ်သား_အစိုးရ_သစ်_တက်_လာ_ချိန်_တွင်_မိသားစုဝင်_များ_က_အမျှပေး_ဝေ_ခြင်း_အခမ်းအနား_ကို_ကျင်းပ_ခဲ့_သည်_အမျှပေး_ဝေ_ခြင်း_အခမ်းအနား_ကို_မေ_၂၂_ရက်_က_လှိုင်သာယာ_၂_ဝ_ရပ်ကွက်_ဗိုလ်တေဇ_လမ်း_ရှိ_မဝင်းမော်ဦး_၏_မိသားစုဝင်_များ_နေအိမ်_တွင်_ကျင်းပ_ခဲ့_သည်_မဝင်းမော်ဦး_၏_မိခင်_ဖြစ်_သူ_ဒေါ်ခင်ဌေး_ဝင်း_က_သမ္မတ_ကြီး_ဦးထင်ကျော်_တို့_လုပ်ဆောင်ချက်_တွေ_ကြည့်_ရတာ_ဘာပဲဖြစ်ဖြစ်_အရင်_ထက်_စာ_ရင်_တော့_နည်းနည်း_ပွင့်လင်း_လာ_ပြီ_ဒီမိုကရေစီ_လမ်းကြောင်း_ပေါ်_ရောက်_ပြီ_လို့_ယူဆ_တယ်_၂၈_နှစ်_လုံးလုံး_သူ_လိုချင်_တဲ့_ဆန္ဒ_လေး_လမ်းကြောင်း_ပေါ်_ရောက်လာ_လို့_သူ့_ရဲ့_အမျှဝေ_ပွဲ_လေး_ကို_ကျင်းပ_ရ_ခြင်း_ဖြစ်ပါတယ်_ဒါပေမဲ့_ဒီမိုကရေစီ_အပြည့်အဝ_မ_ရ_သေး_ဘူး_ဆို_တာ_အန်တီ_ခံစား_မိ_ပါ_တယ်_အရင်_ထက်_စာ_ရင်_နည်းနည်း_လေး_လွတ်လွတ်_လပ်_လပ်_တော့_ရှိလာပြီ_ဒါကြောင့်_ဒီ_လမ်းကြောင်း_ပေါ်_ရောက်_နေ_ပြီ_လို့_ခံစား_မိ_လို့_အမျှဝေ_ပါ_တယ်_ဟု_ပြောသည်_။_,Politics
1,ဒီမိုကရေစီ_အရေး_လူ့အခွင့်အရေး_တောင်းဆို_ဆန္ဒပြ_သည့်_၈၈_အရေးတော်ပုံ_အတွင်း_ပါဝင်_ခဲ့_စဉ်_က_မဝင်းမော်ဦး_သည်_ကြည့်မြင်တိုင်_တွင်_ရှစ်တန်း_တက်ရောက်_နေ_သည့်_ကျောင်းသူ_တစ်ဦး_ဖြစ်ပြီး_၁၉၈၈_ခုနှစ်_စက်တင်ဘာလ_၁၉_ရက်နေ့_တွင်_ဗိုလ်ချုပ်အောင်ဆန်း_ဓာတ်_ပုံကိုင်_ပြီး_ဆန္ဒပြ_တောင်းဆို_နေ_စဉ်_ဆူးလေ_ဘုရားလမ်း_ထောင့်_နှင့်_ကုန်သည်_လမ်းထောင့်_မီးပွိုင့်_အနီး_စစ်တပ်_မှ_ပစ်ခတ်_ဖြိုခွဲ_ခဲ့_သည့်အတွက်_ရရှိ_သည့်_သေနတ်_ဒဏ်ရာ_ဖြင့်_ယင်း_နေ့_ညနေ_တွင်_ရန်ကုန်_ဆေးရုံကြီး_၌_ကွယ်လွန်_ခဲ့_ခြင်း_ဖြစ်သည်_မဝင်းမော်ဦး_အား_အမျှပေး_ဝေ_ခြင်း_အခမ်းအနား_သို့_တက်ရောက်_လာ_သည့်_၈၈_မျိုးဆက်_ငြိမ်းချမ်းရေး_နှင့်_ပွင့်လင်း_လူ့အဖွဲ့အစည်း_မှ_ဦးကိုကိုကြီး_က_လွန်ခဲ့တဲ့_၂၈_နှစ်_ရှစ်_လေး_လုံး_အရေးတော်ပုံ_ကာလ_အတောအတွင်း_မှာ_မဝင်းမော်ဦး_အပါအဝင်_ကျဆုံး_သွား_တဲ့_ရဟန်း_ရှင်_လူ_ကျောင်းသား_ပြည်သူ_တွေ_မြို့ပေါ်_မှာ_ကျဆုံး_ရုံတင်_မ_ကတော_ထဲ_မှာ_ထောင်_ထဲ_မှာ_ကျဆုံး_ခဲ့_တဲ့_ရဲဘော်_တွေ_အနေ_နဲ့_သူ_တို့_ဖြစ်_ချင်_တဲ့_သူ_တို့_တောင်းဆို_ခဲ့_တဲ့_ဒီမိုကရေစီ_ရရှိ_ရေး_ဟာ_ဒီနေ့_ဒီ_အချိန်_မှာ_အတိုင်းအတာ_တစ်_ခု_အထိ_တော့_အောင်မြင်_လာ_ခဲ့_ပါ_ပြီ_ဒါပေမဲ့_ရာနှုန်းပြည့်_သူ_တို့_မျှော်လင့်_တဲ့_အခြေအနေ_ရောက်_အောင်_ဆက်_ကြိုးစား_ဖို့_က_ကျန်ရစ်သူ_တွေ_ရဲ့_တာဝန်_ဖြစ်ပါတယ်_ပေးဆပ်သူ_တွေ_စွန့်လွှတ်သူ_တွေ_အနေ_နဲ့_သူ_တို့_က_တာဝန်ကျေ_သွား_ခဲ့_ပြီး_ပြီ_ကျန်ရစ်သူ_တွေ_က_သူ_တို့_ဆန္ဒ_ကို_ရာနှုန်းပြည့်_အောင်မြင်_တဲ့_အထိ_ဆက်_လုပ်_ဖို့_ဆို_တာ_ကျန်ရစ်သူ_တွေ_ရဲ့_တာဝန်_ပဲ_လို့_ဒီနေ့_ဒီ_ပွဲ_လေး_က_သတိပေး_နှိုးဆော်_သလို_ခံစား_ရ_ပါ_တယ်_သူ_တို့_လည်း_ရောက်_ရာ_ဘုံ_ဘဝ_က_နေ_ဝမ်းမြောက်ဝမ်းသာ_ဖြစ်_ကြ_လိမ့်_မယ်_လို့_ကျွန်တော်_မျှော်လင့်_ပါ_တယ်_ဟု_ပြောသည်_။_,Politics
2,၂၀၁၅_ခုနှစ်_အထွေထွေရွေးကောက်ပွဲ_တွင်_အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်_အနိုင်ရ_ပါ_က_အမျှဝေ_မည်_ဟု_ကနဦး_စီစဉ်_ထား_သော်လည်း_အာဏာ_လွှဲပြောင်း_ပြီး_ချိန်_အထိ_စောင့်ဆိုင်း_ကာ_နိုင်ငံရေး_အကျဉ်းသား_များ_လွတ်မြောက်_ချိန်_မှ_အမျှဝေ_ခြင်း_ဖြစ်ကြောင်း_မဝင်းမော်ဦး_၏_မိခင်_ဒေါ်ခင်ဌေး_ဝင်း_က_ပြောသည်_မဝင်းမော်ဦး_မိခင်_က_သူ_ကတိ_တောင်း_ထား_တာ_က_ဒီမိုကရေစီ_ရ_မှ_အမျှဝေ_ပါ_တဲ့_ဒီမိုကရေစီ_လမ်းကြောင်း_ကတော့_ရောက်_နေ_ပြီ_အပြည့်အဝ_တော့_မ_ရ_သေး_ဘူး_အန်တီ_တို့_က_သူ့_အတွက်_ကတိ_တွေ_က_ပျက်_နေ_တယ်_အရင်ဆုံး_အင်န်အယ်လ်ဒီ_နိုင်_ရင်_အမျှဝေ_မယ်_လို့_လှိုင်သာယာ_မြို့နယ်_မှာ_ပြော_ခဲ့_တယ်_နောက်တော့_ဗိုလ်ကြီး_နေ_မျိုး_ဇင်_တို့_ရုံး_ထုတ်_တွေ_ကို_သွား_တယ်_ဗိုလ်ကြီး_နေ_မျိုး_ဇင်_တို့_ရုံး_ထုတ်_မှာ_ခဏ_နေ_ပါ_ဦး_အန်တီ_ကျွန်တော်_တို့_နိုင်ငံရေး_အကျဉ်းသား_တွေ_လွတ်_တဲ့_အထိ_စောင့်_ပါ_ဦး_ဆို_လို့_စောင့်_ပေး_တယ်_အခု_ဖြိုး_ဖြိုး_အောင်_နန္ဒ_စစ်အောင်_တို့_က_အဲဒီလို_ပြော_တယ်_ကျွန်တော်_တို့_ကို_စောင့်_ပါ_ကျွန်တော်_တို့_လည်း_ပါဝင်_ချင်_တယ်_ဆို_လို့_စောင့်_ပေး_တာ_ပေါ့_၂_ဝ_ဝ_၈_ဖွဲ့စည်းပုံအခြေခံဥပဒေ_ပြင်ဆင်_ဖို့_ကို_ထပ်_စောင့်_ပြန်_ရော_ဒါပေမဲ့_အန်တီ_က_၂_ဝ_ဝ_၈_ကတော့_ပြင်_တော့_ပြင်_မယ်_နည်းနည်း_တော့_ထပ်_စောင့်_ရ_ဦး_မယ်_၂_ဝ_ဝ_၈_စောင့်_နေ_ရင်_သမီး_လိုလား_တဲ့_ပန်းတိုင်_က_ရောက်_မှာ_မဟုတ်_ပေ_မယ့်_၂_ဝ_ဝ_၈_ကတော့_တဖြည်းဖြည်း_ပြင်_သွား_မယ်_ဆို_တာ_သိ_နေ_တဲ့_အတွက်_လင်မယား_နှစ်ယောက်_တိုင်ပင်_ပြီး_ကျန်းမာရေး_ကောင်း_တဲ့_အချိန်_ဖြစ်_လို့_လုပ်_မယ်_ဆိုပြီး_ထ_လုပ်_ဖြစ်_တာ_ပါ_ဟု_ပြောသည်_။_,Politics
3,လာမည့်_စက်တင်ဘာ_၁၉_ရက်_တွင်_မဝင်းမော်ဦး_ကျဆုံးသည်_မှာ_၂၈_နှစ်_ပြည့်_မည်_ဖြစ်ပြီး_ယင်း_နေ့_တွင်_ကျဆုံး_ခြင်း_နှစ်ပတ်လည်_အခမ်းအနား_ကို_ယခင်နှစ်_များ_အတိုင်း_ကျင်းပ_မည်_ဖြစ်ကြောင်း_သိရသည်_မဝင်းမော်ဦး_၏_ဖခင်_ဦးဌေး_ကြူ_က_၈၈_အရေးအခင်း_မှာ_ကျဆုံး_သွား_တဲ့_ဝင်း_မော်_ဦး_နှင့်တကွ_ရဟန်း_ရှင်_လူ_ကျောင်းသား_ပြည်သူ_တစ်ရပ်_လုံး_အတွက်_တစ်_နှစ်_တစ်ခါ_ကျဆုံး_မိသားစုဝင်_တွေ_ဂုဏ်ပြု_ဖို့မြေ_လေး_တစ်_နေရာ_လောက်_ကို_ကျွန်တော်_တို့_ကို_စွမ်းဆောင်_ပေး_ပါ_လို့_လက်ရှိ_အစိုးရ_ကို_တောင်းဆို_ချင်_ပါ_တယ်_ဒီ_အပြင်_အခွင့်အရေး_မ_လိုချင်_ပါ_ဘူး_မြေ_လေး_တစ်_နေရာ_လောက်_ရဟန်း_ရှင်_လူ_မိသားစု_တွေ_အမှတ်တရ_အနေ_နဲ့_ဂုဏ်ပြု_နိုင်_အောင်_လို့_တစ်_နှစ်_တစ်ခါ_ဂုဏ်ပြု_နိုင်_အောင်_လို့_အဲဒီလို_နေရာ_မျိုး_လေး_တောင်းဆို_ချင်_ပါ_တယ်_ဟု_ပြောသည်_လှိုင်သာယာ_မြို့နယ်_ရှိ_မဝင်းမော်ဦး_မိသားစု_၏_နေအိမ်_တွင်_ပြုလုပ်_သည့်_အမျှဝေ_ပွဲ_အခမ်းအနား_သို့_ရွှေဝါရောင်_သံဃာတော်_များ_၈၈_မျိုးဆက်_ငြိမ်းချမ်းရေး_နှင့်_ပွင့်လင်း_လူ့အဖွဲ့အစည်း_မှ_ဦးကိုကိုကြီး_နှင့်_အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်_ပါတီဝင်_များ_တက်ရောက်_ခဲ့_ကြ_သည်_။_,Politics
4,တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_နှင့်_အမေရိကန်_နိုင်ငံခြားရေးဝန်ကြီး_ဂျွန်_ကယ်_ရီ_တို့_ယနေ့_မေ_၂၂_ရက်_မွန်းလွဲ_၂_နာရီ_၃၀_မိနစ်_တွင်_နေပြည်တော်_ရှိ_ဇေယျာသီရိဗိမာန်_၌_တွေ့ဆုံ_ခဲ့_ကြောင်း_သိရသည်_။_,Politics
5,ထို_တွေ့ဆုံ_မှု_တွင်_မြန်မာနိုင်ငံ_ငြိမ်းချမ်းရေး_အတွက်_၂၁_ရာစု_ပင်လုံ_ညီလာခံ_ကျင်းပ_နိုင်_မည့်_အခြေအနေ_များ_ပါတီ_စုံ_ဒီမိုကရေစီ_စနစ်_ဖော်ဆောင်_ရာတွင်_တပ်မတော်_က_ပါဝင်_ဆောင်ရွက်_နေ_မှု_အခြေအနေ_တပ်မတော်_နှင့်_နိုင်ငံတော်_အစိုးရ_ဆက်ဆံရေး_အခြေအနေ_နှစ်_နိုင်ငံ_ဆက်ဆံရေး_နှင့်_နှစ်_နိုင်ငံ_တပ်မတော်_များ_စစ်ဘက်_ဆက်ဆံရေး_အခြေအနေ_အာဆီယံ_နိုင်ငံ_များ_နှင့်_ဆက်ဆံရေး_အခြေအနေ_များ_အား_ဆွေးနွေး_ခဲ့_ကြ_သည်_ဟု_တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်_ရုံး_က_သတင်း_ထုတ်ပြန်_ခဲ့_သည်_။_,Politics
6,ယနေ့_တွင်_နေ့ချင်းပြန်ခရီး_စဉ်_အဖြစ်_မြန်မာနိုင်ငံ_သို့_လာရောက်_ခဲ့_သော_အမေရိကန်_နိုင်ငံခြားရေးဝန်ကြီး_ဂျွန်_ကယ်_ရီ_သည်_နေပြည်တော်_၌_ဒေါ်အောင်ဆန်းစုကြည်_နှင့်_တွေ့ဆုံ_ခဲ့_ပြီး_နောက်_တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်_ဗိုလ်ချုပ်မှူးကြီး_မင်း_အောင်လှိုင်_နှင့်_ဆက်လက်_တွေ့ဆုံ_ခဲ့_ခြင်း_ဖြစ်ပါသည်_။_,Politics
7,အလုပ်သမား_တွေ_နေပြည်တော်_ကို_ဆက်လက်_ချီတက်_မယ်_။_,Politics
8,မန္တလေး_တိုင်းဒေသကြီး_စဉ့်ကိုင်_မြို့_ဖါးလင်ပိုး_ကျောင်းတိုက်_မှာ_ရောက်ရှိ_နေ_တဲ့_စစ်ကိုင်း_မြို့_က_အလုပ်သမား_သပိတ်_စစ်ကြောင်း_က_အလုပ်သမား_တွေ_ကို_နေပြည်တော်_အလုပ်သမား_ညွှန်ကြားရေးဦးစီးဌာန_တာဝန်ရှိသူ_တွေ_က_သပိတ်_ရပ်နား_ဖို့_ပြောကြား_ခဲ့_ပေ_မယ့်_အလုပ်သမား_တွေ_က_လက်မခံ_ဘဲ_ဆက်လက်_ချီတက်_ဆန္ဒပြ_ဖို့_ဆုံးဖြတ်_လိုက်ပါ_တယ်_။_,Politics
9,ခုံသမာဓိ_ကောင်စီ_ရဲ့_ကြားနာ_စစ်ဆေးမှု_ကို_ခံယူ_မှာ_ဖြစ်ပေမယ့်_အလုပ်သမား_တွေ_ရဲ့_လမ်းလျှောက်_ဆန္ဒပြ_မှု_ကို_ရပ်နား_မှာ_မဟုတ်_ဘူး_လို့_အလုပ်သမား_ခေါင်းဆောင်_ကို_ခိုင်_မင်း_က_ပြော_ပါ_တယ်_။_,Politics
